Manufacturer,Model,Application,Takeoff Thrust [lbf],Takeoff Thrust [N],Thrust (Cruise) [lbf],Thrust (Cruise) [N],"SFC (h=0,M=0) [lb/lbf hr]","SFC (h=0,M=0) [kg/s.N]",SFC (Cruise) [lb/lbf hr],SFC (Cruise) [kg/s.N],OPR_ Sea lvl,Cruise Altitude (h) [ft],Cruise Altitude (h) [Km],Cruise Temperature [K],Mach Number,C_a [Kg/N.m],C_b [Kg/N.s],BPR,Entry into service,Dry Mass [lb],Dry Mass [kg],Number of spools,Fan Diameter [in],Fan Diameter [m],Length [in],Length [m],Width/Diameter [in],Width/Diameter [m],Engine Volume [m^3],,,,,
Williams,FJ33-4,"S-26 Safire, Javelin Mk,10, D-Jet",1200,5338,NA,NA,0.410,1.1520E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.93,2005,300,136,2,NA,NA,47.90,1.2167,19.00,0.4826,0.2226,,,,,
Williams/Rolls-Royce,FJ44-1A,"Citation CJ1, SigmaJet, MagnaJet",1900,8452,600,2669,0.456,1.2812E-05,0.749,2.1048E-05,12.80,30000,9.144,228.724,0.70,4.5391E-08,1.1415E-05,3.28,1991,445,202,2,20.90,0.5309,41.90,1.0643,NA,NA,NA,,,,,
Williams/Rolls-Royce,FJ44-1AP,Citation CJ1+,1965,8741,600,2669,0.456,1.2812E-05,0.749,2.1048E-05,NA,30000,9.144,228.724,0.70,4.5391E-08,1.1415E-05,3.28,1992,460,209,2,20.70,0.5258,41.40,1.0516,NA,NA,NA,,,,,
Williams/Rolls-Royce,FJ44-1C,SK60,1500,6672,600,2669,0.460,1.2925E-05,0.749,2.1048E-05,10.30,30000,9.144,228.724,0.70,4.4919E-08,1.1515E-05,3.40,1963,447,203,2,NA,NA,41.90,1.0643,NA,NA,NA,,,,,
Williams/Rolls-Royce,FJ44-2A,"Premier 1, SJ30-2, Citation Eagle II, NauticAir 450",2300,10231,600,2669,0.456,1.2812E-05,0.749,2.1048E-05,NA,30000,9.144,228.724,0.70,4.5391E-08,1.1415E-05,3.28,1992,447,203,2,NA,NA,47.20,1.1989,NA,NA,NA,,,,,
Williams/Rolls-Royce,FJ44-2C,"Citation CJ2, Spirit Wing Learjet 25D",2400,10676,600,2669,0.460,1.2925E-05,0.749,2.1048E-05,NA,30000,9.144,228.724,0.70,4.4919E-08,1.1515E-05,3.40,1992,447,203,2,NA,NA,47.20,1.1989,NA,NA,NA,,,,,
Williams/Rolls-Royce,FJ44-3A,"Citation CJ2+, CJ3",2819,12540,600,2669,0.456,1.2812E-05,0.749,2.1048E-05,NA,30000,9.144,228.724,0.70,4.5391E-08,1.1415E-05,3.28,1992,447,203,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
Williams,FJX-1,V-Jet II,540,2402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,,,,,
Williams,FJX-2,"V-Jet II, Eclipse 500 (candidate engine)",700,3114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,39,2,NA,NA,41.00,1.0414,14.50,0.3683,0.1109,,,,,
GE,GE1,Technology demonstrator,5000,22241,NA,NA,0.700,1.9668E-05,NA,NA,44.00,NA,NA,NA,NA,NA,NA,8.00,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,,,,,
GE,GE39,Technology demonstrator,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,,,,,
GE,GE4/J5P,B-2707-200/-300 (not produced),51500,229083,NA,NA,1.040,2.9221E-05,NA,NA,12.50,NA,NA,NA,NA,NA,NA,8.00,NA,11300,5126,1,NA,NA,308.00,7.8232,89.50,2.2733,31.7532,,,,,
GE,GE90-110B1,"777-200LR, 777-300ER (option), 777-200F (proposed)",109999,489300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.30,NA,NA,NA,2,123.00,3.1242,192.80,4.8971,134.00,3.4036,44.5562,,,,,
GE,GE90-113B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.30,NA,NA,NA,2,123.00,3.1242,192.80,4.8971,134.00,3.4036,44.5562,,,,,
GE,GE90-115B,"777-300ER, 777-200LR (option)",114999,511541,NA,NA,NA,NA,NA,NA,42.00,NA,NA,NA,NA,NA,NA,8.30,NA,18260,8283,2,123.00,3.1242,192.80,4.8971,134.00,3.4036,44.5562,,,,,
GE,GE90-76B,777-200,76400,339844,17500,77844,0.330,9.2721E-06,0.545,1.5315E-05,39.30,35000,10.668,218.818,0.83,2.9397E-08,8.0799E-06,8.40,1994,15600,7076,2,123.00,3.1242,192.80,4.8971,134.00,3.4036,44.5562,,,,,
GE,GE90-85B,777-200/-200ER,84700,376764,17500,77844,0.324,9.1035E-06,0.520,1.4613E-05,39.30,35000,10.668,218.818,0.83,2.7139E-08,7.9330E-06,8.40,1995,15600,7076,2,123.00,3.1242,192.80,4.8971,134.00,3.4036,44.5562,,,,,
GE,GE90-90B,"777-200ER, 777-200 (option)",90000,400340,NA,NA,NA,NA,NA,NA,40.00,NA,NA,NA,NA,NA,NA,8.40,NA,15600,7076,2,123.00,3.1242,192.80,4.8971,134.00,3.4036,44.5562,,,,,
GE,GE90-92B,"777-200ER, 777-200 (option)",91999,409232,NA,NA,NA,NA,NA,NA,40.00,NA,NA,NA,NA,NA,NA,8.30,NA,15600,7076,2,123.00,3.1242,192.80,4.8971,134.00,3.4036,44.5562,,,,,
GE,GE90-94B,777-200/-200ER/-300,93699,416794,NA,NA,NA,NA,NA,NA,40.00,NA,NA,NA,NA,NA,NA,8.30,NA,16644,7550,2,123.00,3.1242,192.80,4.8971,134.00,3.4036,44.5562,,,,,
GE,Genx-2B67B,"787-3/-8/-9, A350-800/-900",66993,298000,58500,260221,0.490,1.3768E-05,0.530,1.4894E-05,45.00,42653,13.001,216.650,0.85,1.1785E-08,1.1938E-05,8.60,2011,12397,5623,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
de Havilland ,Ghost 50 Mk.1,Comet 1,5000,22241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
de Havilland,Ghost 50 Mk.2,Comet 1A,5020,22330,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
Engine Alliance,GP7168,747-500X/-600X (not produced),68000,302479,NA,NA,NA,NA,NA,NA,42.30,35000,10.668,218.818,0.85,NA,NA,7.00,NA,11500,5216,2,NA,NA,169.00,4.2926,99.00,2.5146,21.3181,,,,,
Engine Alliance,GP7172,"767-400ERX, (not produced)",71000,315824,NA,NA,NA,NA,NA,NA,43.90,35000,10.668,218.818,0.85,NA,NA,8.70,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,,,,,
Engine Alliance,GP7268,NA,68000,302479,NA,NA,NA,NA,NA,NA,46.00,35000,10.668,218.818,0.85,NA,NA,8.00,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,,,,,
Engine Alliance,GP7270,A380-861,70000,311375,12633,56194,NA,NA,0.550,1.5456E-05,45.60,35000,10.668,218.818,0.85,NA,NA,8.70,2005,13300,6033,2,116.00,2.9464,187.10,4.7523,124.00,3.1496,37.0261,,,,,
Engine Alliance,GP7277,A380-863F,77000,342513,13700,60941,NA,NA,0.550,1.5456E-05,45.60,35000,10.668,218.818,0.85,NA,NA,8.70,2005,13300,6033,2,116.00,2.9464,187.10,4.7523,124.00,3.1496,37.0261,,,,,
Pratt Whitney,JT10D-132,(see PW2037),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
Pratt Whitney,JT11D-20,(see military turbofan specifications J58-P-4),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
Pratt Whitney,JT12A-3,(see military turbofan specifications),3000,13345,NA,NA,0.960,2.6973E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
Pratt Whitney,JT12A-5,(see military turbofan specifications),3000,13345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
Pratt Whitney,JT12A-6,Sabreliner 40/50,3000,13345,NA,NA,0.960,2.6973E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,453,205,1,NA,NA,NA,NA,21.90,0.5563,NA,,,,,
Pratt Whitney,JT12A-6A,"Sabreliner 40/50, JetStar I",3000,13345,NA,NA,0.960,2.6973E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,453,205,1,NA,NA,NA,NA,21.90,0.5563,NA,,,,,
Pratt Whitney,JT12A-8,"Sabreliner 60, JetStar I",3300,14679,NA,NA,0.995,2.7957E-05,NA,NA,6.70,NA,NA,NA,NA,NA,NA,NA,NA,468,212,1,NA,NA,NA,NA,21.90,0.5563,NA,,,,,
Pratt Whitney,JT12A-8A,"Sabreliner 60, JetStar I",3300,14679,NA,NA,0.995,2.7957E-05,NA,NA,6.70,NA,NA,NA,NA,NA,NA,NA,NA,468,212,1,NA,NA,NA,NA,21.90,0.5563,NA,,,,,
Pratt Whitney Canada,JT15D-1,"Citation, SN,600 prototype",2200,9786,2414,10738,0.540,1.5173E-05,0.540,1.5175E-05,NA,40000,12.192,216.650,0.80,8.5519E-09,1.3156E-05,3.30,1983,514,233,2,27.30,0.6934,59.30,1.5062,27.20,0.6909,0.5647,,,,,
Pratt Whitney Canada,JT15D-1A,Citation I/ISP,2200,9786,2414,10738,0.540,1.5173E-05,0.540,1.5175E-05,NA,40000,12.192,216.650,0.80,8.5519E-09,1.3156E-05,3.30,1983,519,235,2,27.30,0.6934,59.30,1.5062,27.20,0.6909,0.5647,,,,,
Pratt Whitney Canada,JT15D-1B,Citation I/ISP,2200,9786,2414,10738,0.540,1.5173E-05,0.540,1.5175E-05,10.00,40000,12.192,216.650,0.80,8.5519E-09,1.3156E-05,3.30,1983,519,235,2,27.30,0.6934,59.30,1.5062,27.20,0.6909,0.5647,,,,,
Pratt Whitney Canada,JT15D-4,"Citation II/IISP, SN,601 Corvette, Diamond I",2500,11121,2414,10738,0.562,1.5791E-05,0.540,1.5175E-05,NA,40000,12.192,216.650,0.80,6.2813E-09,1.3692E-05,2.60,1983,557,253,2,20.80,0.5283,63.00,1.6002,27.00,0.6858,0.5911,,,,,
Pratt Whitney Canada,JT15D-4B,Citation S/II,2500,11121,2414,10738,0.562,1.5791E-05,0.540,1.5175E-05,NA,40000,12.192,216.650,0.80,6.2813E-09,1.3692E-05,2.60,1983,568,258,2,20.80,0.5283,63.00,1.6002,27.00,0.6858,0.5911,,,,,
Pratt Whitney Canada,JT15D-4C,S211,2500,11121,2414,10738,0.562,1.5791E-05,0.540,1.5175E-05,NA,40000,12.192,216.650,0.80,6.2813E-09,1.3692E-05,2.60,1983,575,261,2,20.80,0.5283,63.00,1.6002,27.00,0.6858,0.5911,,,,,
Pratt Whitney Canada,JT15D-4D,Diamond IA,2500,11121,2414,10738,0.562,1.5791E-05,0.540,1.5175E-05,NA,40000,12.192,216.650,0.80,6.2813E-09,1.3692E-05,2.60,1983,560,254,2,20.80,0.5283,63.00,1.6002,27.00,0.6858,0.5911,,,,,
Pratt Whitney Canada,JT15D-5,"Beechjet 400 (Diamond II), Beechjet 400A/400T",3045,13545,2414,10738,0.551,1.5482E-05,0.540,1.5175E-05,12.60,40000,12.192,216.650,0.80,7.4166E-09,1.3424E-05,2.00,1983,632,287,2,20.50,0.5207,63.00,1.6002,27.00,0.6858,0.5911,,,,,
Pratt Whitney Canada,JT15D-5A,Citation V,2900,12900,2414,10738,0.551,1.5482E-05,0.540,1.5175E-05,12.60,40000,12.192,216.650,0.80,7.4166E-09,1.3424E-05,2.00,1983,632,287,2,20.50,0.5207,63.00,1.6002,27.00,0.6858,0.5911,,,,,
Pratt Whitney Canada,JT15D-5B,(see military turbofan specifications),2900,12900,2414,10738,0.551,1.5482E-05,0.540,1.5175E-05,NA,40000,12.192,216.650,0.80,7.4166E-09,1.3424E-05,2.00,1983,632,287,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
Pratt Whitney Canada,JT15D-5C,S211A,3190,14190,2414,10738,0.551,1.5482E-05,0.540,1.5175E-05,13.50,40000,12.192,216.650,0.80,7.4166E-09,1.3424E-05,2.00,1983,665,302,2,20.50,0.5207,63.00,1.6002,27.00,0.6858,0.5911,,,,,
Pratt Whitney Canada,JT15D-5D,"Citation V Ultra, VisionAire Vantage",3045,13545,2414,10738,0.550,1.5454E-05,0.540,1.5175E-05,13.10,40000,12.192,216.650,0.80,7.5198E-09,1.3400E-05,2.00,1983,627,284,2,20.50,0.5207,63.00,1.6002,27.00,0.6858,0.5911,,,,,
Pratt Whitney,JT3C-1,Prototype,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,,,,,
Pratt Whitney,JT3C-10,DC-8-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,38.80,0.9855,138.60,3.5204,38.90,0.9881,2.6993,,,,,
Pratt Whitney,JT3C-12,"720, 720F, 707-120 (option)",12000,53379,NA,NA,0.775,2.1775E-05,NA,NA,13.80,NA,NA,NA,NA,NA,NA,NA,NA,3550,1610,2,38.80,0.9855,138.60,3.5204,NA,NA,NA,,,,,
Pratt Whitney,JT3C-2,DC-8-11/-12,11200,49820,NA,NA,0.950,2.6692E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3870,1755,2,38.80,0.9855,138.60,3.5204,38.90,0.9881,2.6993,,,,,
Pratt Whitney,JT3C-4,"707-120, 720",11200,49820,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,38.80,0.9855,138.60,3.5204,38.90,0.9881,2.6993,,,,,
Pratt Whitney,JT3C-6,"707-120, DC-8-11/-12",11200,49820,NA,NA,0.775,2.1775E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4230,1919,2,38.80,0.9855,138.60,3.5204,38.90,0.9881,2.6993,,,,,
Pratt Whitney,JT3C-7,"720, 720F",12000,53379,3396,15106,0.785,2.2056E-05,0.900,2.5291E-05,13.00,36089,11.000,216.660,0.80,2.6120E-08,1.9125E-05,0.00,1957,3500,1588,2,38.80,0.9855,138.60,3.5204,38.90,0.9881,2.6993,,,,,
Pratt Whitney,JT3D-1,"707-120B/-120BF, 720B, 720BF, DC-8-51/52",17000,75620,NA,NA,0.520,1.4611E-05,NA,NA,12.50,NA,NA,NA,NA,NA,NA,1.40,NA,4150,1882,2,53.10,1.3487,136.30,3.4620,53.00,1.3462,4.9276,,,,,
Pratt Whitney,JT3D-1 (HK),707-120B,NA,NA,NA,NA,0.520,1.4611E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.40,NA,NA,NA,2,53.10,1.3487,136.30,3.4620,53.00,1.3462,4.9276,,,,,
Pratt Whitney,JT3D-1 (HK3),707-120B,NA,NA,NA,NA,0.520,1.4611E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.40,NA,NA,NA,2,53.10,1.3487,136.30,3.4620,53.00,1.3462,4.9276,,,,,
Pratt Whitney,JT3D-1 (Q),707-120B,NA,NA,NA,NA,0.520,1.4611E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.40,NA,NA,NA,2,53.10,1.3487,136.30,3.4620,53.00,1.3462,4.9276,,,,,
Pratt Whitney,JT3D-2,(see military turbofan specifications TF33-P-3),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
Pratt Whitney,JT3D-3,"707-120B/-320B/-320C, 720B, DC-8-51/-51F/-52/-52F/-53/-53F/-54/-54F/-55/-55F/-61/-61F/-62/-62F (option)",18018,80148,5013,22299,0.770,2.1635E-05,0.760,2.1357E-05,16.00,35000,10.668,218.818,0.80,1.0555E-08,1.8853E-05,1.25,1958,4784,2170,2,NA,NA,NA,NA,53.00,1.3462,NA,,,,,
Pratt Whitney,JT3D-3A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.30,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,,,,,
Pratt Whitney,JT3D-3B,"707-120B/-320B/-320BH/-320C/-320CH, 720B, 720BF, DC-8-53F/-55/-62/-62F",18000,80068,NA,NA,0.530,1.4892E-05,NA,NA,13.60,NA,NA,NA,NA,NA,NA,1.37,NA,4340,1969,2,53.10,1.3487,145.50,3.6957,53.00,1.3462,5.2602,,,,,
Pratt Whitney,JT3D-3B (HK),"707-120B/-320B/-320BH/-320C/-320CH, 720B, 720BF, DC-8-51F/-53F/-54/-55/-62F(AF)",NA,NA,NA,NA,0.510,1.4330E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.40,NA,NA,NA,2,53.10,1.3487,NA,NA,53.00,1.3462,NA,,,,,
Pratt Whitney,JT3D-3B (HK2),"707-320B/-320C, DC-8-51F/-52F/-54F/-55F/-61F/-62F(CF)",NA,NA,NA,NA,0.510,1.4330E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.40,NA,NA,NA,2,53.10,1.3487,NA,NA,53.00,1.3462,NA,,,,,
Pratt Whitney,JT3D-3B (HK3),"707-320B, DC-8-51F/-54F/-55F/-61/-61F/-62/-62F/-62F(AF)/-62F(CF)",NA,NA,NA,NA,0.510,1.4330E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.40,NA,NA,NA,2,53.10,1.3487,NA,NA,53.00,1.3462,NA,,,,,
Pratt Whitney,JT3D-3B (Q),"707-120B, DC-8-51/-51F/-52/-52F/-54/-55/-55F/-61/-61F(AF)/-62/-62F(CF)",NA,NA,NA,NA,0.510,1.4330E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.40,NA,NA,NA,2,53.10,1.3487,NA,NA,53.00,1.3462,NA,,,,,
Pratt Whitney,JT3D-3C,NA,18000,80068,NA,NA,0.510,1.4330E-05,NA,NA,13.00,NA,NA,NA,NA,NA,NA,1.66,NA,4340,1969,2,53.10,1.3487,145.50,3.6957,53.00,1.3462,5.2602,,,,,
Pratt Whitney,JT3D-5,(see military turbofan specifications TF33-P-7),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
Pratt Whitney,JT3D-7,"707-320B/-320C, DC-8-62/-62F/-63/-63F",19000,84516,NA,NA,0.520,1.4611E-05,NA,NA,13.50,NA,NA,NA,NA,NA,NA,1.43,NA,4340,1969,2,53.10,1.3487,145.50,3.6957,53.00,1.3462,5.2602,,,,,
Pratt Whitney,JT3D-7 (HK),707-320B/-320C,NA,NA,NA,NA,0.520,1.4611E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.43,NA,NA,NA,2,53.10,1.3487,NA,NA,53.00,1.3462,NA,,,,,
Pratt Whitney,JT3D-7 (HK2),707-320B/-320C,NA,NA,NA,NA,0.520,1.4611E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.43,NA,NA,NA,2,53.10,1.3487,NA,NA,53.00,1.3462,NA,,,,,
Pratt Whitney,JT3D-7 (HK3),"707-320B/-320C, DC-8-62/-62F/-62F(AF)/-62F(CF)/-63/-63F/-63F(CF)",NA,NA,NA,NA,0.520,1.4611E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.43,NA,NA,NA,2,53.10,1.3487,NA,NA,53.00,1.3462,NA,,,,,
Pratt Whitney,JT3D-7 (Q),DC-8-62F/-63F/-63F(AF),NA,NA,NA,NA,0.520,1.4611E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.43,NA,NA,NA,2,53.10,1.3487,NA,NA,53.00,1.3462,NA,,,,,
Pratt Whitney,JT3D-7A,NA,19000,84516,NA,NA,0.520,1.4611E-05,NA,NA,13.50,NA,NA,NA,NA,NA,NA,1.43,NA,4340,1969,2,53.10,1.3487,145.50,3.6957,53.00,1.3462,5.2602,,,,,
Pratt Whitney,JT4A-10,707-320 (option),16800,74730,NA,NA,0.810,2.2759E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5100,2313,2,42.50,1.0795,144.10,3.6601,43.00,1.0922,3.4292,,,,,
Pratt Whitney,JT4A-11,"DC-8-33F/-33F(AF), 707-320 (option)",17500,77844,4697,20893,0.840,2.3602E-05,0.920,2.5853E-05,12.50,36089,11.000,216.660,0.80,2.2824E-08,2.0465E-05,0.00,1956,5100,2313,2,42.50,1.0795,144.10,3.6601,NA,NA,NA,,,,,
Pratt Whitney,JT4A-12,707-320/-320F,17500,77844,NA,NA,0.840,2.3602E-05,NA,NA,12.50,NA,NA,NA,NA,NA,NA,NA,NA,4900,2223,2,42.50,1.0795,144.10,3.6601,NA,NA,NA,,,,,
Pratt Whitney,JT4A-3,"707-220, DC-8-21/-21F (option)",15800,70282,NA,NA,0.770,2.1635E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5020,2277,2,42.50,1.0795,144.10,3.6601,NA,NA,NA,,,,,
Pratt Whitney,JT4A-5,707-220 (option),15800,70282,NA,NA,0.770,2.1635E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4820,2186,2,42.50,1.0795,144.10,3.6601,NA,NA,NA,,,,,
Pratt Whitney,JT4A-7,707-320 (option),15800,70282,NA,NA,0.770,2.1635E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,,,,,
Pratt Whitney,JT4A-9,DC-8-21/-21F/-33F/-33F(AF),16800,74730,NA,NA,0.810,2.2759E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5050,2291,2,42.50,1.0795,144.10,3.6601,43.00,1.0922,3.4292,,,,,
Pratt Whitney,JT8D-1,"Caravelle 10B1R/10B3, DC-9-15",14000,62275,NA,NA,0.585,1.6437E-05,NA,NA,15.40,NA,NA,NA,NA,NA,NA,1.06,NA,3096,1404,2,42.50,1.0795,123.50,3.1369,42.50,1.0795,2.8710,,,,,
Pratt Whitney,JT8D-11,DC-9-21/-32/-41,15000,66723,4750,21129,0.620,1.7420E-05,0.806,2.2650E-05,16.20,30000,9.144,228.724,0.80,2.9395E-08,1.5520E-05,1.05,1965,3310,1501,2,42.50,1.0795,123.50,3.1369,42.50,1.0795,2.8710,,,,,
Pratt Whitney,JT8D-11 (HK),DC-9-21,15000,66723,4750,21129,0.620,1.7420E-05,0.806,2.2650E-05,NA,30000,9.144,228.724,0.80,2.9395E-08,1.5520E-05,1.05,1965,3310,1501,2,42.50,1.0795,NA,NA,42.50,1.0795,NA,,,,,
Pratt Whitney,JT8D-11 (HK3),DC-9-21/-32/-33F/-41,15000,66723,4750,21129,0.620,1.7420E-05,0.806,2.2650E-05,NA,30000,9.144,228.724,0.80,2.9395E-08,1.5520E-05,1.05,1965,3310,1501,2,42.50,1.0795,NA,NA,42.50,1.0795,NA,,,,,
Pratt Whitney,JT8D-15,"727-200/-200A/-200F/-200AF, 737-200A/-200CA, DC-9-33/-34/-41, Mercure-100",15500,68947,4920,21885,0.630,1.7701E-05,0.810,2.2762E-05,16.50,30000,9.144,228.724,0.80,2.8826E-08,1.5770E-05,1.03,1963,3414,1549,2,42.50,1.0795,123.50,3.1369,42.50,1.0795,2.8710,,,,,
Pratt Whitney,JT8D-15 (HK),"727-200A, 737-200/-200A",15000,66723,4920,21885,0.630,1.7701E-05,0.810,2.2762E-05,NA,30000,9.144,228.724,0.80,2.8826E-08,1.5770E-05,1.03,1963,3414,1549,2,42.50,1.0795,NA,NA,42.50,1.0795,NA,,,,,
Pratt Whitney,JT8D-15 (HK3),"727-200A/-200AF, 737-200/-200A/-200C/-200CA, DC-9-31/-32/-41",15000,66723,4920,21885,0.630,1.7701E-05,0.810,2.2762E-05,NA,30000,9.144,228.724,0.80,2.8826E-08,1.5770E-05,1.03,1963,3414,1549,2,42.50,1.0795,NA,NA,42.50,1.0795,NA,,,,,
Pratt Whitney,JT8D-15A,"727-200A, 737-200A/-200CA, DC-9-30/-40/-50 (option)",15500,68947,4920,21885,0.590,1.6577E-05,0.810,2.2762E-05,16.60,30000,9.144,228.724,0.80,3.2954E-08,1.4769E-05,1.04,1963,3474,1576,2,42.50,1.0795,123.50,3.1369,42.50,1.0795,2.8710,,,,,
Pratt Whitney,JT8D-15A (HK3),"727-200A/-200AF, 737-200A/-200CA",15000,66723,4920,21885,0.590,1.6577E-05,0.810,2.2762E-05,NA,30000,9.144,228.724,0.80,3.2954E-08,1.4769E-05,1.04,1963,3474,1576,2,42.50,1.0795,NA,NA,42.50,1.0795,NA,,,,,
Pratt Whitney,JT8D-17,"727-200A/-200AF, 737-200/-200A/-200CA/-200F/-200AF, DC-9-31/-32/-34/-34F(CF)/-51",16000,71172,5140,22864,0.600,1.6858E-05,0.814,2.2874E-05,16.90,30000,9.144,228.724,0.80,3.2386E-08,1.5019E-05,1.01,1963,3430,1556,2,42.50,1.0795,123.50,3.1369,42.50,1.0795,2.8710,,,,,
Pratt Whitney,JT8D-17 (HK3),"727-200A/-200AF, 737-200A/-200CA, DC-9-51",16000,71172,5140,22864,0.600,1.6858E-05,0.814,2.2874E-05,NA,30000,9.144,228.724,0.80,3.2386E-08,1.5019E-05,1.01,1963,3430,1556,2,42.50,1.0795,NA,NA,42.50,1.0795,NA,,,,,
Pratt Whitney,JT8D-17A,"727-200A, 737-200A/-200CA/-200AF, DC-9-41/-51",16000,71172,5140,22864,0.600,1.6858E-05,0.773,2.1722E-05,17.10,30000,9.144,228.724,0.80,2.7635E-08,1.5019E-05,1.02,1963,3475,1576,2,42.50,1.0795,123.50,3.1369,42.50,1.0795,2.8710,,,,,
Pratt Whitney,JT8D-17A (HK3),"727-200A/-200AF, 737-200A/-200CA, DC-9-41/-51",16000,71172,5140,22864,0.600,1.6858E-05,0.773,2.1722E-05,NA,30000,9.144,228.724,0.80,2.7635E-08,1.5019E-05,1.02,1963,3475,1576,2,42.50,1.0795,NA,NA,42.50,1.0795,NA,,,,,
Pratt Whitney,JT8D-17AR,"727-200A, 737-200",17400,77399,5140,22864,0.610,1.7139E-05,0.780,2.1919E-05,17.30,30000,9.144,228.724,0.80,2.7414E-08,1.5270E-05,1.00,1963,3495,1585,2,42.50,1.0795,123.50,3.1369,42.50,1.0795,2.8710,,,,,
Pratt Whitney,JT8D-17R,727-200/-200A/-200AF,17400,77399,5140,22864,0.660,1.8544E-05,0.820,2.3043E-05,17.50,30000,9.144,228.724,0.80,2.6888E-08,1.6521E-05,1.00,1963,3495,1585,2,42.50,1.0795,123.50,3.1369,42.50,1.0795,2.8710,,,,,
Pratt Whitney,JT8D-17R (HK3),727-200A/-200AF,17400,77399,5140,22864,0.790,2.2197E-05,0.820,2.3043E-05,NA,30000,9.144,228.724,0.80,1.3471E-08,1.9776E-05,1.00,1963,3495,1585,2,42.50,1.0795,NA,NA,42.50,1.0795,NA,,,,,
