Manufacturer,Model,Application,Takeoff Thrust [lbf],Takeoff Thrust [N],Thrust (Cruise) [lbf],Thrust (Cruise) [N],"SFC (h=0,M=0) [lb/lbf hr]","SFC (h=0,M=0) [kg/s.N]",SFC (Cruise) [lb/lbf hr],SFC (Cruise) [kg/s.N],OPR_ Sea lvl,Cruise Altitude (h) [ft],Cruise Altitude (h) [Km],Cruise Temperature [K],Mach Number,C_a [Kg/N.m],C_b [Kg/N.s],BPR,Entry into service,Dry Mass [lb],Dry Mass [kg],Number of spools,Fan Diameter [in],Fan Diameter [m],Length [in],Length [m],Width/Diameter [in],Width/Diameter [m],Engine Volume [m^3],,,,,
BMW/Rolls-Royce (Rolls-Royce Deutschland),BR710,Tu-334-120,14845,66034,3480,15480,0.390,1.0958E-05,0.640,1.7985E-05,25.70,35000,10.668,218.818,0.80,3.5560E-08,9.5489E-06,4.00,1996,3520,1597,2,48.00,1.2192,NA,NA,NA,NA,NA,,,,,
BMW/Rolls-Royce (Rolls-Royce Deutschland),BR710A1-10,"G500 (Gulfstream V), G550 (Gulfstream V-SP)",14750,65611,3480,15480,0.390,1.0958E-05,0.640,1.7985E-05,25.70,35000,10.668,218.818,0.80,3.5560E-08,9.5489E-06,4.20,1996,3520,1597,2,48.00,1.2192,87.00,2.2098,52.90,1.3437,3.1334,,,,,
BMW/Rolls-Royce (Rolls-Royce Deutschland),BR710A2-20,"Global Express, Global Express XRS, Global 5000",14750,65611,3480,15480,0.390,1.0958E-05,0.640,1.7985E-05,25.70,35000,10.668,218.818,0.80,3.5560E-08,9.5489E-06,4.20,1996,3520,1597,2,48.00,1.2192,87.00,2.2098,52.90,1.3437,3.1334,,,,,
BMW/Rolls-Royce (Rolls-Royce Deutschland),BR710C4-11,"G500 (Gulfstream V), G550 (Gulfstream V-SP)",14750,65611,3480,15480,0.390,1.0958E-05,0.640,1.7985E-05,25.70,35000,10.668,218.818,0.80,3.5560E-08,9.5489E-06,4.20,1996,3520,1597,2,48.00,1.2192,87.00,2.2098,52.90,1.3437,3.1334,,,,,
BMW/Rolls-Royce (Rolls-Royce Deutschland),BR715-55,Tu-354 (Tu-334-200) (proposed),19883,88444,4380,19483,0.370,1.0396E-05,0.620,1.7423E-05,32.10,35000,10.668,218.818,0.80,3.5255E-08,9.0592E-06,4.70,1996,4546,2062,2,56.00,1.4224,NA,NA,NA,NA,NA,,,,,
BMW/Rolls-Royce (Rolls-Royce Deutschland),BR715A1-30,717-200,18500,82292,4380,19483,0.370,1.0396E-05,0.620,1.7423E-05,32.10,35000,10.668,218.818,0.80,3.5255E-08,9.0592E-06,4.70,1998,4600,2087,2,56.00,1.4224,93.00,2.3622,60.20,1.5291,4.3378,,,,,
BMW/Rolls-Royce (Rolls-Royce Deutschland),BR715B1-30,717-200 (option),20000,88964,4380,19483,0.370,1.0396E-05,0.620,1.7423E-05,NA,35000,10.668,218.818,0.80,3.5255E-08,9.0592E-06,4.02,1998,4600,2087,2,56.00,1.4224,NA,NA,NA,NA,NA,,,,,
BMW/Rolls-Royce (Rolls-Royce Deutschland),BR715C1-30,717-200 HGW,21000,93413,4380,19483,0.370,1.0396E-05,0.620,1.7423E-05,32.60,35000,10.668,218.818,0.80,3.5255E-08,9.0592E-06,5.00,1998,4600,2087,2,56.00,1.4224,93.00,2.3622,60.20,1.5291,4.3378,,,,,
BMW/Rolls-Royce (Rolls-Royce Deutschland),BR720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,,,,,
GE,CF34-10A,ARJ21,18000,80068,15490,68903,0.380,1.0677E-05,0.650,1.8266E-05,NA,42265,12.882,216.650,0.82,3.7230E-08,9.2579E-06,5.10,NA,1526,692,2,NA,NA,NA,NA,NA,NA,NA,,,,,
GE,CF34-10D5,928-100 (not produced),17355,77199,15490,68903,0.380,1.0677E-05,0.650,1.8266E-05,29.00,42265,12.882,216.650,0.82,3.7230E-08,9.2579E-06,5.00,NA,3800,1724,2,NA,NA,90.00,2.2860,57.00,1.4478,3.7634,,,,,
GE,CF34-10D6,928-200 (not produced),18750,83404,15490,68903,0.380,1.0677E-05,0.650,1.8266E-05,29.00,42265,12.882,216.650,0.82,3.7230E-08,9.2579E-06,5.00,NA,3800,1724,2,NA,NA,90.00,2.2860,57.00,1.4478,3.7634,,,,,
GE,CF34-10E5,"ERJ-190/-190AR, ERJ-195/-195AR",18500,82292,15490,68903,0.380,1.0677E-05,0.640,1.7985E-05,NA,42265,12.882,216.650,0.82,3.6068E-08,9.2579E-06,5.40,NA,3800,1724,2,NA,NA,90.00,2.2860,57.00,1.4478,3.7634,,,,,
GE,CF34-1A,Challenger 601-1A,8650,38477,NA,NA,0.360,1.0115E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.02,NA,1630,739,2,44.00,1.1176,103.00,2.6162,49.00,1.2446,3.1829,,,,,
GE,CF34-3A,Challenger 601-3A,9220,41013,NA,NA,0.357,1.0031E-05,0.700,1.9671E-05,21.00,37000,11.278,216.650,0.70,5.3128E-08,8.6975E-06,6.20,1996,1630,739,2,44.00,1.1176,103.00,2.6162,49.00,1.2446,3.1829,,,,,
GE,CF34-3A1,CRJ100/200,9220,41013,NA,NA,0.357,1.0031E-05,0.700,1.9671E-05,21.00,37000,11.278,216.650,0.70,5.3128E-08,8.6975E-06,6.30,1996,1660,753,2,44.00,1.1176,103.00,2.6162,49.00,1.2446,3.1829,,,,,
GE,CF34-3B,"CRJ100/200, Challenger 604, Challenger 800",9220,41013,NA,NA,0.346,9.7217E-06,0.700,1.9671E-05,NA,39000,11.887,216.650,0.76,5.0128E-08,8.4295E-06,6.30,1996,1670,757,2,44.00,1.1176,103.00,2.6162,49.00,1.2446,3.1829,,,,,
GE,CF34-3B1,"CRJ100/200/200ER/200LR, Challenger 604, Challenger 800",9220,41013,NA,NA,0.346,9.7217E-06,0.700,1.9671E-05,21.00,39000,11.887,216.650,0.76,5.0128E-08,8.4295E-06,6.30,1996,1670,757,2,44.00,1.1176,103.00,2.6162,49.00,1.2446,3.1829,,,,,
GE,CF34-8C1,CRJ700-701/-701ER,13790,61341,NA,NA,0.370,1.0396E-05,0.680,1.9109E-05,27.00,NA,NA,NA,NA,NA,NA,4.90,NA,2350,1066,2,46.20,1.1735,128.00,3.2512,52.00,1.3208,4.4546,,,,,
GE,CF34-8C5,"CRJ700-705/-705ER, CRJ900/900ER",14500,64499,NA,NA,0.390,1.0958E-05,0.680,1.9109E-05,NA,NA,NA,NA,NA,NA,NA,4.90,NA,2470,1120,2,46.20,1.1735,128.00,3.2512,52.00,1.3208,4.4546,,,,,
GE,CF34-8C5A1,NA,NA,NA,NA,NA,NA,NA,0.680,1.9109E-05,NA,NA,NA,NA,NA,NA,NA,4.90,NA,2470,1120,2,46.20,1.1735,128.00,3.2512,52.00,1.3208,4.4546,,,,,
GE,CF34-8C5A2,NA,NA,NA,NA,NA,NA,NA,0.680,1.9109E-05,NA,NA,NA,NA,NA,NA,NA,4.90,NA,2470,1120,2,46.20,1.1735,128.00,3.2512,52.00,1.3208,4.4546,,,,,
GE,CF34-8C5A3,NA,NA,NA,NA,NA,NA,NA,0.680,1.9109E-05,NA,NA,NA,NA,NA,NA,NA,4.90,NA,2470,1120,2,46.20,1.1735,128.00,3.2512,52.00,1.3208,4.4546,,,,,
GE,CF34-8C5B1,CRJ700-705LR,14255,63409,NA,NA,NA,NA,0.680,1.9109E-05,NA,NA,NA,NA,NA,NA,NA,4.90,NA,2470,1120,2,46.20,1.1735,128.00,3.2512,52.00,1.3208,4.4546,,,,,
GE,CF34-8D1,"728-100, 528-100 (not produced)",12500,55603,NA,NA,0.390,1.0958E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2470,1120,2,46.20,1.1735,128.00,3.2512,52.00,1.3208,4.4546,,,,,
GE,CF34-8D3,728-200 (not produced),12875,57271,NA,NA,0.390,1.0958E-05,NA,NA,27.00,NA,NA,NA,NA,NA,NA,4.90,NA,2470,1120,2,46.20,1.1735,128.00,3.2512,52.00,1.3208,4.4546,,,,,
GE,CF34-8D5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2470,1120,2,46.20,1.1735,128.00,3.2512,52.00,1.3208,4.4546,,,,,
GE,CF34-8D6,Envoy 7 (not produced),13050,58049,NA,NA,0.390,1.0958E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2470,1120,2,46.20,1.1735,128.00,3.2512,52.00,1.3208,4.4546,,,,,
GE,CF34-8E2,"ERJ-170, ERJ-170LR (option)",14000,62275,NA,NA,0.390,1.0958E-05,0.680,1.9109E-05,27.00,NA,NA,NA,NA,NA,NA,5.10,NA,2470,1120,2,46.20,1.1735,128.00,3.2512,52.00,1.3208,4.4546,,,,,
GE,CF34-8E2A1,NA,NA,NA,NA,NA,NA,NA,0.680,1.9109E-05,NA,NA,NA,NA,NA,NA,NA,4.64,NA,NA,NA,2,46.20,1.1735,128.00,3.2512,52.00,1.3208,4.4546,,,,,
GE,CF34-8E5,"ERJ-170LR, ERJ-170 (option)",NA,NA,NA,NA,NA,NA,0.680,1.9109E-05,NA,NA,NA,NA,NA,NA,NA,5.10,NA,NA,NA,2,46.20,1.1735,128.00,3.2512,52.00,1.3208,4.4546,,,,,
